batch size,data parallel,model parallel,thread num,fifo size,End to end FPS,Hardware FPS,Total execution time(ms),Prepare input time(ms),Copyin time(ms),Execution time(ms),Copyout time(ms),Post process time(ms)
2,1,4,64,2,866.085,7886.49,1477920,11574.349,785.3352,11865.298,425.366,677.057
32,2,1,8,2,865.4252,1538.376,1482860,1789.3522,817.62555,8139.574,42.5542,189.0814
32,2,2,8,2,864.6802,1665.978,1481934,1863.8422,1956.05935,7629.0798,40.6446,193.0826
2,1,8,16,2,863.8562,3552.408,1481808,1443.0574,4312.13285,7247.2684,133.8408,195.9996
8,1,16,32,2,863.278,15383.25,1482725,3016.963,7847.35075,4145.505,156.9715,337.568
2,1,8,8,2,862.2792,1775.594,1484534,1365.5154,6835.59275,7251.9852,123.5422,188.0294
8,1,32,8,2,862.1552,7437.968,1484662,1432.2354,660.532,2861.3876,56.0676,196.866
1,1,4,8,2,859.756,919.275,1488850,1430.9895,797.3589,12629.21225,63.78025,197.44375
4,16,1,16,2,855.0068,11072.3,1497898,2944.6232,1032.63775,3347.5764,130.4908,180.9266
64,1,8,8,2,853.4228,2841.298,1504446,1943.745,2661.5324,5112.6132,39.7252,208.0594
1,1,2,16,2,852.55225,1746.6075,1501380,1500.703,5704.2377,13227.0345,58.3365,223.0735
2,4,4,32,2,850.9595,14982.15,1504330,3014.8625,10166.4725,4238.2585,313.297,180.6205
16,2,2,32,2,849.6376,4704.404,1507198,4651.3642,655.50285,10214.5192,161.4632,179.8838
1,4,4,8,2,848.5652,3536.972,1508536,1434.1362,738.7441,4403.8344,57.5892,199.207
1,1,2,8,2,847.772,907.198,1509860,1468.47725,795.79585,12797.615,59.842,194.0675
1,1,4,16,2,847.617,1729.3475,1510225,1447.71725,852.0947,13353.38775,58.15575,217.843
32,1,1,8,2,847.3184,1056.372,1510970,1393.928,1122.63025,11204.6958,39.2968,209.1468
4,4,8,8,2,843.483,7451.056,1517630,1402.5284,2378.519,2891.9344,63.4916,189.3848
64,1,4,8,2,842.9338,1628.058,1524640,1946.0914,8603.80575,7816.5814,36.4292,196.6702
8,1,32,16,2,842.5775,14876,1519190,1868.6855,665.89015,2895.9065,86.053,210.141
4,1,16,8,2,841.7716,3522.506,1520974,1411.694,738.47555,4428.272,84.1838,205.9246
4,2,2,64,2,840.142,12351.4,1523550,13178.178,838.77335,8156.02,951.302,193.34
1,1,2,32,2,837.91325,3502.6925,1527770,2772.104,894.416,13221.9715,60.17775,296.21075
4,1,16,16,2,837.4942,7036.666,1528540,1615.612,1822.13945,4439.0574,78.7534,193.3338
2,2,8,8,2,837.1266,3484.914,1529234,1346.1112,2639.23885,4468.0984,125.1158,173.66
1,4,4,16,2,836.7656,7023.692,1529770,1693.2374,8693.239,4445.6474,53.918,198.2912
1,2,2,8,2,836.0858,880.8468,1530950,1409.8084,658.5598,13156.4158,67.1818,187.9484
4,4,8,16,2,833.81,14898.35,1535690,1742.7325,748.8358,2910.349,77.43,187.1885
8,4,4,32,2,833.7546,17530.7,1536332,4469.8498,809.3067,3872.9916,219.5968,182.9222
2,2,8,16,2,833.072,7006.054,1536588,1609.7712,1635.30955,4460.2972,124.3256,179.3042
1,2,4,8,2,832.6104,1719.448,1537408,1440.7448,3346.8533,7492.8882,59.1678,188.8316
1,2,4,16,2,831.9422,3415.598,1538676,1532.0802,4616.7355,7534.979,72.9704,193.6592
4,1,8,64,2,827.351,16551.5,1547110,14583.514,669.7548,6496.522,493.388,888.748
1,1,4,32,2,827.22675,3478.8525,1547780,2892.00925,749.44165,13322.18125,61.51775,307.6245
4,8,2,32,2,825.038,17508.72,1552646,4097.3636,827.89695,3892.1222,303.9106,183.401
8,4,2,32,2,824.8448,8933.118,1555770,4587.6728,1852.4507,6141.7866,234.494,189.0126
16,2,4,32,2,824.321,8638.938,1553720,4560.7066,3733.0362,6296.6408,183.7736,185.523
2,1,8,32,2,823.5522,7033.09,1554316,2852.049,5202.903875,7378.3246,172.7974,271.7972
1,2,2,16,2,822.6694,1683.672,1556214,1514.9556,683.3512,13722.5244,70.7208,194.7008
2,8,4,8,2,819.5858,7119.986,1561794,1340.81,752.2005,3000.006,86.1412,187.3282
1,4,4,32,2,814.0175,13997.45,1572450,2811.122,846.84795,4498.698,87.583,196.6515
2,4,2,64,2,813.722,21122.3,1573020,12730.461,887.9035,5451.393,1312.53,185.381
4,1,16,32,2,813.4985,14033.65,1573740,2843.169,1110.7077,4492.771,135.78,279.917
