11943936,1890508,1874351
12845056,2032878,2015061
16613376,2625717,2604669
16777216,2651447,2630155
20447232,3229185,3203350
25000000,3944926,3915066
25690112,4052469,4022381
35831808,5652157,5618974
38535168,6075662,6032090
39321600,6202790,6152649
51380224,8119478,8039421
67108864,10588445,10496347
83886080,13260560,13117553
121228800,19188167,18954097
142655492,22620255,22301059
178438148,28345418,27892757
186482692,29652771,29161227
191102980,30465737,29871274
196608000,31322693,30732045
205520896,32655567,32124033
237568004,37781298,37148110
1258291200,200601144,196931554
3200000000,510234781,503394544
75276,19596,17341
92928,21466,20451
98304,22140,21033
100000,22842,21084
102400,22475,21667
131072,27488,25952
147456,30180,28537
204800,39091,36995
262144,54339,46565
294912,54207,51050
307200,55644,52913
409860,76161,70076
524288,90531,87191
589824,99236,98014
1000000,169049,162135
1048576,173378,170236
1179648,198123,191753
1228800,206388,199656
1280000,213830,207631
1581056,261087,254366
1638400,270607,263429
1638916,269823,263624
2359296,382902,376127
2654208,430674,422456
3538944,569245,560763
4718592,755442,751965
6422528,1022313,1011728
8306688,1319483,1306234
8388608,1332553,1319973
9437184,1497059,1483082
10000000,1584548,1570462
11075584,1754188,1738767
11943936,1891994,1874857
12845056,2031159,2015473
16613376,2627049,2604872
16777216,2652330,2629847
20447232,3228308,3202930
25000000,3948270,3914471
25690112,4053047,4022710
35831808,5649192,5606957
38535168,6073794,6029632
39321600,6200118,6152365
